#TYPE System.Management.Automation.PSCustomObject
"ScheduleName","Reboot","OS","DayofWeek","TagName","TagValue","StartTime","DaysofWeekOccurrence"
"3rd Sunday UTC0 - Windows Update","IfRequired","Windows","Sunday","UpdateWindow","SUN3UTC0","00:00","Third"
"3rd Sunday UTC0 - Linux Update","IfRequired","Linux","Sunday","UpdateWindow","SUN3UTC0","00:00","Third"
"1st Sunday UTC8 - Windows Update","IfRequired","Windows","Sunday","UpdateWindow","SUN1UTC8","08:00","First"
"1st Sunday UTC8 - Linux Update","IfRequired","Linux","Sunday","UpdateWindow","SUN1UTC8","08:00","First"
"2nd Sunday UTC8 - Windows Update","IfRequired","Windows","Sunday","UpdateWindow","SUN2UTC8","08:00","Second"
"2nd Sunday UTC8 - Linux Update","IfRequired","Linux","Sunday","UpdateWindow","SUN2UTC8","08:00","Second"
"3rd Sunday UTC8 - Windows Update","IfRequired","Windows","Sunday","UpdateWindow","SUN3UTC8","08:00","Third"
"3rd Sunday UTC8 - Linux Update","IfRequired","Linux","Sunday","UpdateWindow","SUN3UTC8","08:00","Third"
"1st Sunday UTC16 - Windows Update","IfRequired","Windows","Sunday","UpdateWindow","SUN1UTC16","16:00","First"
"1st Sunday UTC16 - Linux Update","IfRequired","Linux","Sunday","UpdateWindow","SUN1UTC16","16:00","First"
"2nd Sunday UTC16 - Windows Update","IfRequired","Windows","Sunday","UpdateWindow","SUN2UTC16","16:00","Second"
"2nd Sunday UTC16 - Linux Update","IfRequired","Linux","Sunday","UpdateWindow","SUN2UTC16","16:00","Second"
"3rd Sunday UTC16 - Windows Update","IfRequired","Windows","Sunday","UpdateWindow","SUN3UTC16","16:00","Third"
"3rd Sunday UTC16 - Linux Update","IfRequired","Linux","Sunday","UpdateWindow","SUN3UTC16","16:00","Third"
"1st Saturday UTC0 - Windows Update - No Reboot","Never","Windows","Saturday","UpdateWindow","SAT1UTC0-NR","00:00","First"
"1st Saturday UTC0 - Linux Update - No Reboot","Never","Linux","Saturday","UpdateWindow","SAT1UTC0-NR","00:00","First"
"2nd Saturday UTC0 - Windows Update - No Reboot","Never","Windows","Saturday","UpdateWindow","SAT2UTC0-NR","00:00","Second"
"2nd Saturday UTC0 - Linux Update - No Reboot","Never","Linux","Saturday","UpdateWindow","SAT2UTC0-NR","00:00","Second"
"3rd Saturday UTC0 - Windows Update - No Reboot","Never","Windows","Saturday","UpdateWindow","SAT3UTC0-NR","00:00","Third"
"3rd Saturday UTC0 - Linux Update - No Reboot","Never","Linux","Saturday","UpdateWindow","SAT3UTC0-NR","00:00","Third"
"1st Saturday UTC8 - Windows Update - No Reboot","Never","Windows","Saturday","UpdateWindow","SAT1UTC8-NR","08:00","First"
"1st Saturday UTC8 - Linux Update - No Reboot","Never","Linux","Saturday","UpdateWindow","SAT1UTC8-NR","08:00","First"
"2nd Saturday UTC8 - Windows Update - No Reboot","Never","Windows","Saturday","UpdateWindow","SAT2UTC8-NR","08:00","Second"
"2nd Saturday UTC8 - Linux Update - No Reboot","Never","Linux","Saturday","UpdateWindow","SAT2UTC8-NR","08:00","Second"
"3rd Saturday UTC8 - Windows Update - No Reboot","Never","Windows","Saturday","UpdateWindow","SAT3UTC8-NR","08:00","Third"
"3rd Saturday UTC8 - Linux Update - No Reboot","Never","Linux","Saturday","UpdateWindow","SAT3UTC8-NR","08:00","Third"
"1st Saturday UTC16 - Windows Update - No Reboot","Never","Windows","Saturday","UpdateWindow","SAT1UTC16-NR","16:00","First"
"1st Saturday UTC16 - Linux Update - No Reboot","Never","Linux","Saturday","UpdateWindow","SAT1UTC16-NR","16:00","First"
"2nd Saturday UTC16 - Windows Update - No Reboot","Never","Windows","Saturday","UpdateWindow","SAT2UTC16-NR","16:00","Second"
"2nd Saturday UTC16 - Linux Update - No Reboot","Never","Linux","Saturday","UpdateWindow","SAT2UTC16-NR","16:00","Second"
"3rd Saturday UTC16 - Windows Update - No Reboot","Never","Windows","Saturday","UpdateWindow","SAT3UTC16-NR","16:00","Third"
"3rd Saturday UTC16 - Linux Update - No Reboot","Never","Linux","Saturday","UpdateWindow","SAT3UTC16-NR","16:00","Third"
